Rank,Channel,Subscribers(millions),Language,Category,Country
1,T-Series,193,Hindi,Music, India
2,Cocomelon - Nursery Rhymes,118,English,Education, United States
3,SET India,115,Hindi,Entertainment, India
4,PewDiePie,110,English,Gaming, Sweden
5,Kids Diana Show,83.5,English,Film, Ukraine
6,WWE,81.8,English,Sports, United States
7,Zee Music Company,77.1,Hindi,Music, India
8,Like Nastya,76.8,Russian,Entertainment, Russia
9,5-Minute Crafts,73.7,English,How-to, Cyprus
10,Vlad and Niki,72.3,English,Entertainment, Russia
11,MrBeast,69.8,English,Entertainment, United States
12,Blackpink,67,Korean,Music, South Korea
13,Justin Bieber,65.3,English,Music, Canada
14,Canal KondZilla,64.8,Portuguese,Music, Brazil
15,HYBE LABELS,61.5,Korean,Music, South Korea
16,Zee TV,59.2,Hindi,Entertainment, India
17,Goldmines Telefilms,58.8,Hindi,Film, India
18,BangtanTV,58.4,Korean,Music, South Korea
19,Sony SAB,57.5,Hindi,Entertainment, India
20,Dude Perfect,56.7,English,Sports, United States
21,Shemaroo Filmi Gaane,55.4,Hindi,Music, India
22,Movieclips,54.2,English,Film, United States
23,Marshmello,53.9,English,Music, United States
24,Pinkfong! Kids' Stories & Songs,52,English,Education, South Korea
25,ChuChu TV Nursery Rhymes & Kids Songs,51.5,Hindi,Education, India
26,Ariana Grande,49.7,English,Music, United States
27,EminemMusic,49,English,Music, United States
28,Ed Sheeran,48.9,English,Music, United Kingdom
29,Wave Music,47.6,Bhojpuri,Music, India
30,Aaj Tak,47.6,Hindi,News, India
31,Sony Music India,46.5,Hindi,Music, India
32,Tips Official,45.8,Hindi,Music, India
33,LooLoo Kids - Nursery Rhymes and Children's Songs,45.5,English,Music, United States
34,El Reino Infantil,45.2,Spanish,Music, Argentina
35,Colors TV,44.8,Hindi,Entertainment, India
36,Badabun,44.8,Spanish,Entertainment, Mexico
37,JuegaGerman,44.1,Spanish,Entertainment, Chile
38,T-Series Bhakti Sagar,43.8,Hindi,Music, India
39,Taylor Swift,43.5,English,Music, United States
40,Fernanfloo,43.1,Spanish,Gaming, El Salvador
41,Billie Eilish,43,English,Music, United States
42,whinderssonnunes,43,Portuguese,Comedy, Brazil
43,Felipe Neto,42.9,Portuguese,Entertainment, Brazil
44,HolaSoyGerman.,42.8,Spanish,Entertainment, Chile
45,YRF,42,Hindi,Music, India
46,BRIGHT SIDE,41.9,English,Entertainment, Cyprus
47,Katy Perry,41.5,English,Music, United States
48,Você Sabia?,41.4,Portuguese,Entertainment, Brazil
49,Alan Walker,40.3,English,Music, United Kingdom
50,elrubiusOMG,40,Spanish,Entertainment, Spain
